ClienteID,Nome,Cidade,Produto,Valor_Euro,Data_Assinatura
972,Cliente_972,Lisboa,Net segura,208.9,2023-06-09
6688,Cliente_6688,Vila Nova de Gaia,Telefone Fixo Ilimitado,24.64,2018-01-11
8576,Cliente_8576,Sintra,Pacote TV HD,36.75,2023-05-24
2021,Cliente_2021,Lisboa,Net segura,211.86,2023-03-14
9055,Cliente_9055,Sintra,Pacote TV HD,32.17,2019-06-07
953,Cliente_953,Lisboa,Internet 100 Mbps,49.04,2023-01-27
5360,Cliente_5360,Faro,"Pacote Integrado (TV, Internet, Telefone)",87.66,2018-09-30
3858,Cliente_3858,Braga,Internet 100 Mbps,45.23,2019-08-30
5862,Cliente_5862,Cascais,"Pacote Integrado (TV, Internet, Telefone)",147.3,2021-06-27
3146,Cliente_3146,Porto,Telefone Fixo Ilimitado,25.04,2022-05-25
3306,Cliente_3306,Porto,Telefone Fixo Ilimitado,29.96,2020-03-16
3007,Cliente_3007,Porto,Cloud,325.6,2023-07-30
9002,Cliente_9002,Sintra,"Pacote Integrado (TV, Internet, Telefone)",125.52,2018-03-15
7771,Cliente_7771,Sintra,Pacote Mobile Empresarial,29.82,2019-02-15
7439,Cliente_7439,Sintra,Internet 100 Mbps,44.74,2022-01-16
7943,Cliente_7943,Sintra,Net segura,229.02,2019-10-02
9239,Cliente_9239,Funchal,Pacote Mobile Empresarial,15.15,2021-11-01
1057,Cliente_1057,Lisboa,Net segura,107.49,2021-02-02
3155,Cliente_3155,Porto,Cloud,431.12,2018-07-31
3788,Cliente_3788,Porto,Pacote Mobile Empresarial,29.92,2023-10-07
9190,Cliente_9190,Funchal,Telefone Fixo Ilimitado,23.1,2019-02-03
7826,Cliente_7826,Sintra,Pacote Mobile Empresarial,19.04,2023-02-27
7540,Cliente_7540,Sintra,Internet 100 Mbps,44.1,2020-11-11
7232,Cliente_7232,Vila Nova de Gaia,Cloud,499.34,2019-06-26
765,Cliente_765,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",138.91,2022-04-06
5020,Cliente_5020,Coimbra,Cloud,287.49,2022-05-16
4904,Cliente_4904,Coimbra,Net segura,176.92,2023-09-19
8094,Cliente_8094,Sintra,Pacote TV HD,26.1,2018-12-28
6844,Cliente_6844,Vila Nova de Gaia,Net segura,131.98,2021-02-15
2166,Cliente_2166,Lisboa,Pacote TV HD,39.03,2020-06-11
1863,Cliente_1863,Lisboa,Internet 200 Mbps,61.34,2022-01-10
7851,Cliente_7851,Sintra,Internet 200 Mbps,57.18,2020-09-13
9124,Cliente_9124,Sintra,Cloud,329.67,2020-08-02
2341,Cliente_2341,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",100.07,2019-12-03
5528,Cliente_5528,Cascais,Internet 100 Mbps,36.83,2020-10-15
6744,Cliente_6744,Vila Nova de Gaia,Pacote TV HD,33.67,2022-02-02
4004,Cliente_4004,Braga,Pacote Mobile Empresarial,24.33,2018-04-27
1124,Cliente_1124,Lisboa,Pacote TV HD,35.96,2018-02-27
8710,Cliente_8710,Sintra,"Pacote Integrado (TV, Internet, Telefone)",120.29,2019-09-28
4050,Cliente_4050,Braga,Telefone Fixo Ilimitado,25.41,2022-10-03
7641,Cliente_7641,Sintra,Net segura,225.02,2020-09-20
766,Cliente_766,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",110.82,2022-10-30
2345,Cliente_2345,Lisboa,Cloud,436.16,2019-07-20
4072,Cliente_4072,Braga,Cloud,451.39,2020-11-12
7217,Cliente_7217,Vila Nova de Gaia,"Pacote Integrado (TV, Internet, Telefone)",117.6,2021-10-18
4217,Cliente_4217,Braga,Telefone Fixo Ilimitado,29.02,2023-06-25
7953,Cliente_7953,Sintra,Telefone Fixo Ilimitado,23.88,2020-11-02
5971,Cliente_5971,Cascais,Internet 100 Mbps,48.5,2022-01-02
3351,Cliente_3351,Porto,Cloud,409.3,2019-03-16
4696,Cliente_4696,Coimbra,Pacote TV HD,34.46,2022-03-01
3400,Cliente_3400,Porto,Internet 100 Mbps,30.65,2022-09-23
4082,Cliente_4082,Braga,"Pacote Integrado (TV, Internet, Telefone)",85.82,2019-02-19
9150,Cliente_9150,Sintra,"Pacote Integrado (TV, Internet, Telefone)",149.53,2019-10-19
1225,Cliente_1225,Lisboa,Internet 100 Mbps,43.81,2021-04-23
6293,Cliente_6293,Cascais,Cloud,429.12,2021-12-20
3123,Cliente_3123,Porto,Pacote Mobile Empresarial,25.53,2019-02-11
511,Cliente_511,Lisboa,Internet 100 Mbps,32.86,2022-11-30
5795,Cliente_5795,Cascais,Pacote TV HD,35.35,2019-05-01
8182,Cliente_8182,Sintra,Telefone Fixo Ilimitado,28.45,2021-07-13
9418,Cliente_9418,Funchal,Internet 100 Mbps,49.92,2019-07-06
97,Cliente_97,Lisboa,Internet 200 Mbps,62.69,2021-02-07
6682,Cliente_6682,Vila Nova de Gaia,Pacote Mobile Empresarial,24.07,2021-12-30
1513,Cliente_1513,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",148.72,2021-11-23
8792,Cliente_8792,Sintra,"Pacote Integrado (TV, Internet, Telefone)",120.03,2018-06-20
120,Cliente_120,Lisboa,Telefone Fixo Ilimitado,25.81,2020-12-23
7792,Cliente_7792,Sintra,Net segura,204.84,2018-04-30
6518,Cliente_6518,Vila Nova de Gaia,Internet 200 Mbps,51.19,2023-06-01
34,Cliente_34,Lisboa,Pacote Mobile Empresarial,29.57,2018-02-17
7888,Cliente_7888,Sintra,Internet 200 Mbps,57.82,2022-12-15
6831,Cliente_6831,Vila Nova de Gaia,Cloud,498.47,2018-02-26
5422,Cliente_5422,Faro,Cloud,366.15,2019-02-16
1069,Cliente_1069,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",137.47,2023-10-12
1348,Cliente_1348,Lisboa,Internet 200 Mbps,51.86,2019-06-18
4748,Cliente_4748,Coimbra,Internet 100 Mbps,33.3,2021-06-22
6006,Cliente_6006,Cascais,Pacote Mobile Empresarial,26.69,2023-05-14
6040,Cliente_6040,Cascais,Internet 200 Mbps,62.45,2023-07-26
3818,Cliente_3818,Braga,Cloud,470.14,2021-02-16
8447,Cliente_8447,Sintra,Pacote Mobile Empresarial,17.64,2020-10-17
5270,Cliente_5270,Faro,Telefone Fixo Ilimitado,26.97,2019-03-23
6898,Cliente_6898,Vila Nova de Gaia,Net segura,174.48,2022-06-30
5310,Cliente_5310,Faro,Internet 100 Mbps,42.54,2019-01-15
32,Cliente_32,Lisboa,Cloud,378.92,2022-04-26
5675,Cliente_5675,Cascais,Cloud,329.86,2022-05-17
4387,Cliente_4387,Braga,Pacote TV HD,37.2,2020-10-17
30,Cliente_30,Lisboa,Net segura,118.18,2018-07-12
4203,Cliente_4203,Braga,Internet 100 Mbps,48.44,2020-04-23
7508,Cliente_7508,Sintra,Telefone Fixo Ilimitado,22.32,2021-05-24
736,Cliente_736,Lisboa,Cloud,478.66,2021-05-10
2068,Cliente_2068,Lisboa,Internet 200 Mbps,68.48,2023-08-28
107,Cliente_107,Lisboa,Telefone Fixo Ilimitado,29.26,2020-08-27
9645,Cliente_9645,Funchal,"Pacote Integrado (TV, Internet, Telefone)",90.59,2020-11-22
8895,Cliente_8895,Sintra,Internet 100 Mbps,38.17,2023-01-12
8021,Cliente_8021,Sintra,Internet 200 Mbps,67.58,2023-08-16
2233,Cliente_2233,Lisboa,Telefone Fixo Ilimitado,25.56,2022-12-08
994,Cliente_994,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",147.24,2022-03-11
9413,Cliente_9413,Funchal,Internet 100 Mbps,49.14,2018-11-27
7059,Cliente_7059,Vila Nova de Gaia,Pacote TV HD,33.42,2023-10-01
6790,Cliente_6790,Vila Nova de Gaia,"Pacote Integrado (TV, Internet, Telefone)",98.17,2022-06-04
361,Cliente_361,Lisboa,Net segura,114.7,2018-11-27
305,Cliente_305,Lisboa,Pacote TV HD,39.99,2023-06-03
2628,Cliente_2628,Lisboa,Cloud,250.54,2018-02-15
8966,Cliente_8966,Sintra,Pacote TV HD,32.24,2018-07-18
4514,Cliente_4514,Braga,Pacote Mobile Empresarial,25.51,2022-04-21
5911,Cliente_5911,Cascais,Pacote Mobile Empresarial,18.25,2022-08-11
8314,Cliente_8314,Sintra,Telefone Fixo Ilimitado,27.29,2020-06-09
3101,Cliente_3101,Porto,Cloud,306.41,2022-05-13
5704,Cliente_5704,Cascais,Internet 200 Mbps,51.93,2019-08-16
3899,Cliente_3899,Braga,Telefone Fixo Ilimitado,23.29,2023-06-03
5441,Cliente_5441,Faro,Pacote TV HD,40.0,2020-03-31
7931,Cliente_7931,Sintra,Pacote Mobile Empresarial,25.27,2021-01-08
622,Cliente_622,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",99.92,2023-11-18
7236,Cliente_7236,Vila Nova de Gaia,Cloud,222.1,2023-12-30
2499,Cliente_2499,Lisboa,Internet 200 Mbps,56.79,2018-04-17
714,Cliente_714,Lisboa,Pacote TV HD,32.59,2022-03-09
8404,Cliente_8404,Sintra,Telefone Fixo Ilimitado,27.35,2021-01-12
2856,Cliente_2856,Porto,Pacote Mobile Empresarial,24.53,2018-12-23
4270,Cliente_4270,Braga,Net segura,160.06,2022-08-16
2909,Cliente_2909,Porto,Telefone Fixo Ilimitado,24.26,2020-03-28
8081,Cliente_8081,Sintra,Internet 200 Mbps,64.54,2021-06-22
4517,Cliente_4517,Braga,Internet 100 Mbps,49.26,2018-12-22
1262,Cliente_1262,Lisboa,Internet 100 Mbps,42.54,2020-05-13
3161,Cliente_3161,Porto,"Pacote Integrado (TV, Internet, Telefone)",143.89,2020-05-01
971,Cliente_971,Lisboa,Cloud,434.57,2022-01-10
3913,Cliente_3913,Braga,Telefone Fixo Ilimitado,23.24,2020-02-26
5199,Cliente_5199,Faro,Telefone Fixo Ilimitado,20.84,2019-12-02
8847,Cliente_8847,Sintra,"Pacote Integrado (TV, Internet, Telefone)",90.11,2020-04-24
260,Cliente_260,Lisboa,Net segura,252.0,2020-04-13
3791,Cliente_3791,Porto,Cloud,282.44,2020-01-31
9203,Cliente_9203,Funchal,Cloud,216.71,2019-11-11
488,Cliente_488,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",136.95,2019-12-19
7908,Cliente_7908,Sintra,Telefone Fixo Ilimitado,20.41,2019-02-07
519,Cliente_519,Lisboa,Net segura,203.55,2019-04-28
8343,Cliente_8343,Sintra,Internet 100 Mbps,46.96,2023-05-22
312,Cliente_312,Lisboa,Pacote TV HD,34.55,2020-10-23
3232,Cliente_3232,Porto,Pacote TV HD,26.38,2021-04-28
7933,Cliente_7933,Sintra,Pacote Mobile Empresarial,21.56,2022-03-01
7458,Cliente_7458,Sintra,"Pacote Integrado (TV, Internet, Telefone)",137.67,2023-01-10
9784,Cliente_9784,Évora,Telefone Fixo Ilimitado,25.44,2020-10-11
5184,Cliente_5184,Coimbra,Internet 200 Mbps,62.57,2020-12-05
8077,Cliente_8077,Sintra,Pacote TV HD,30.72,2020-04-02
6502,Cliente_6502,Vila Nova de Gaia,Pacote TV HD,35.98,2020-05-28
6791,Cliente_6791,Vila Nova de Gaia,Cloud,494.38,2023-01-21
7773,Cliente_7773,Sintra,Internet 100 Mbps,39.43,2019-11-22
2738,Cliente_2738,Porto,Cloud,398.07,2018-01-13
7842,Cliente_7842,Sintra,Pacote Mobile Empresarial,20.38,2020-06-29
6262,Cliente_6262,Cascais,Internet 100 Mbps,48.71,2019-10-25
8206,Cliente_8206,Sintra,Pacote TV HD,29.86,2018-11-18
1248,Cliente_1248,Lisboa,Cloud,362.92,2022-07-11
9336,Cliente_9336,Funchal,Net segura,125.57,2020-06-12
4195,Cliente_4195,Braga,Telefone Fixo Ilimitado,26.41,2018-07-16
8001,Cliente_8001,Sintra,Telefone Fixo Ilimitado,22.82,2022-05-08
7378,Cliente_7378,Sintra,Cloud,406.01,2021-01-08
3435,Cliente_3435,Porto,Internet 200 Mbps,57.45,2019-08-05
5382,Cliente_5382,Faro,Internet 100 Mbps,43.21,2023-02-09
959,Cliente_959,Lisboa,Internet 100 Mbps,49.94,2020-03-20
417,Cliente_417,Lisboa,Internet 200 Mbps,53.54,2023-07-17
5742,Cliente_5742,Cascais,Net segura,182.64,2020-05-23
6728,Cliente_6728,Vila Nova de Gaia,Cloud,275.39,2023-07-02
4382,Cliente_4382,Braga,Cloud,273.83,2021-08-29
5197,Cliente_5197,Faro,Telefone Fixo Ilimitado,28.6,2018-03-05
1113,Cliente_1113,Lisboa,Pacote Mobile Empresarial,21.2,2019-09-10
2689,Cliente_2689,Porto,Pacote TV HD,27.32,2020-02-16
6473,Cliente_6473,Vila Nova de Gaia,Internet 200 Mbps,57.55,2020-11-10
8820,Cliente_8820,Sintra,Net segura,253.73,2018-09-14
7808,Cliente_7808,Sintra,"Pacote Integrado (TV, Internet, Telefone)",137.0,2021-08-16
3411,Cliente_3411,Porto,Pacote TV HD,33.01,2022-04-03
81,Cliente_81,Lisboa,Internet 100 Mbps,42.39,2022-09-14
4614,Cliente_4614,Braga,Pacote TV HD,27.58,2022-04-19
1374,Cliente_1374,Lisboa,Cloud,479.21,2022-06-30
1510,Cliente_1510,Lisboa,Telefone Fixo Ilimitado,25.0,2021-10-18
6443,Cliente_6443,Cascais,Internet 100 Mbps,44.92,2019-05-13
3071,Cliente_3071,Porto,Telefone Fixo Ilimitado,29.4,2023-06-23
3016,Cliente_3016,Porto,Pacote TV HD,28.16,2020-07-08
4823,Cliente_4823,Coimbra,Telefone Fixo Ilimitado,25.22,2020-03-06
7822,Cliente_7822,Sintra,Pacote Mobile Empresarial,23.82,2018-08-28
93,Cliente_93,Lisboa,Pacote Mobile Empresarial,16.73,2019-03-15
9421,Cliente_9421,Funchal,Pacote TV HD,25.04,2020-02-19
6600,Cliente_6600,Vila Nova de Gaia,Internet 200 Mbps,52.43,2019-05-03
4443,Cliente_4443,Braga,Cloud,261.38,2019-04-07
7602,Cliente_7602,Sintra,"Pacote Integrado (TV, Internet, Telefone)",109.63,2019-06-12
3835,Cliente_3835,Braga,Telefone Fixo Ilimitado,24.72,2020-03-29
9702,Cliente_9702,Funchal,Pacote Mobile Empresarial,26.81,2023-05-15
4322,Cliente_4322,Braga,Pacote TV HD,26.12,2022-03-10
3394,Cliente_3394,Porto,Internet 100 Mbps,34.48,2021-04-02
4752,Cliente_4752,Coimbra,Internet 200 Mbps,55.35,2021-04-08
7229,Cliente_7229,Vila Nova de Gaia,Pacote Mobile Empresarial,20.86,2018-10-28
9191,Cliente_9191,Funchal,Cloud,264.37,2020-04-08
2361,Cliente_2361,Lisboa,Telefone Fixo Ilimitado,25.2,2021-03-08
1148,Cliente_1148,Lisboa,Pacote Mobile Empresarial,27.47,2020-04-06
5666,Cliente_5666,Cascais,Net segura,155.27,2019-07-21
8075,Cliente_8075,Sintra,Pacote TV HD,35.94,2020-03-22
4943,Cliente_4943,Coimbra,Telefone Fixo Ilimitado,22.95,2018-09-08
3663,Cliente_3663,Porto,Cloud,264.13,2020-02-22
1563,Cliente_1563,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",90.93,2020-12-21
4113,Cliente_4113,Braga,Pacote Mobile Empresarial,28.63,2021-04-28
9050,Cliente_9050,Sintra,Internet 100 Mbps,42.81,2019-05-29
9276,Cliente_9276,Funchal,Net segura,100.79,2018-10-22
8538,Cliente_8538,Sintra,"Pacote Integrado (TV, Internet, Telefone)",125.83,2022-09-28
795,Cliente_795,Lisboa,Internet 200 Mbps,50.45,2021-11-06
5854,Cliente_5854,Cascais,"Pacote Integrado (TV, Internet, Telefone)",119.83,2023-03-15
7619,Cliente_7619,Sintra,Cloud,467.85,2020-04-22
1594,Cliente_1594,Lisboa,Pacote TV HD,35.28,2019-10-01
7418,Cliente_7418,Sintra,Internet 100 Mbps,41.46,2023-08-03
5267,Cliente_5267,Faro,Internet 200 Mbps,54.76,2022-10-12
7147,Cliente_7147,Vila Nova de Gaia,Pacote Mobile Empresarial,28.63,2021-09-11
89,Cliente_89,Lisboa,Internet 200 Mbps,67.59,2022-02-22
8695,Cliente_8695,Sintra,Pacote Mobile Empresarial,16.3,2018-09-21
9732,Cliente_9732,Évora,Pacote Mobile Empresarial,17.63,2023-08-17
9446,Cliente_9446,Funchal,"Pacote Integrado (TV, Internet, Telefone)",115.23,2020-03-01
6754,Cliente_6754,Vila Nova de Gaia,Internet 100 Mbps,30.2,2019-03-15
3502,Cliente_3502,Porto,"Pacote Integrado (TV, Internet, Telefone)",101.97,2018-11-30
2234,Cliente_2234,Lisboa,Internet 100 Mbps,33.78,2018-08-12
2803,Cliente_2803,Porto,Telefone Fixo Ilimitado,23.84,2022-11-12
4424,Cliente_4424,Braga,Telefone Fixo Ilimitado,25.48,2019-01-02
5663,Cliente_5663,Cascais,Pacote Mobile Empresarial,15.93,2020-08-21
7170,Cliente_7170,Vila Nova de Gaia,"Pacote Integrado (TV, Internet, Telefone)",138.33,2018-10-18
8337,Cliente_8337,Sintra,Internet 100 Mbps,37.54,2019-08-18
2148,Cliente_2148,Lisboa,Pacote Mobile Empresarial,24.69,2020-11-16
7969,Cliente_7969,Sintra,"Pacote Integrado (TV, Internet, Telefone)",135.1,2023-12-14
6551,Cliente_6551,Vila Nova de Gaia,Internet 200 Mbps,61.39,2018-10-08
7643,Cliente_7643,Sintra,Telefone Fixo Ilimitado,26.22,2020-08-08
6164,Cliente_6164,Cascais,Pacote Mobile Empresarial,15.75,2022-01-13
1495,Cliente_1495,Lisboa,Pacote TV HD,38.44,2020-10-21
7696,Cliente_7696,Sintra,Internet 200 Mbps,58.03,2020-10-08
7094,Cliente_7094,Vila Nova de Gaia,Telefone Fixo Ilimitado,20.11,2021-04-24
1409,Cliente_1409,Lisboa,Internet 200 Mbps,68.4,2023-07-11
6691,Cliente_6691,Vila Nova de Gaia,Telefone Fixo Ilimitado,27.24,2023-12-04
3401,Cliente_3401,Porto,Pacote Mobile Empresarial,18.01,2018-09-01
109,Cliente_109,Lisboa,Cloud,207.44,2021-09-22
5636,Cliente_5636,Cascais,Pacote TV HD,34.65,2019-05-21
8482,Cliente_8482,Sintra,Internet 100 Mbps,32.71,2020-12-18
6604,Cliente_6604,Vila Nova de Gaia,Pacote TV HD,39.01,2023-12-19
1091,Cliente_1091,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",119.3,2021-03-03
5560,Cliente_5560,Cascais,Cloud,345.65,2018-07-21
9412,Cliente_9412,Funchal,"Pacote Integrado (TV, Internet, Telefone)",103.24,2018-03-21
8143,Cliente_8143,Sintra,Pacote TV HD,37.76,2022-07-30
8664,Cliente_8664,Sintra,Net segura,280.51,2018-11-23
6596,Cliente_6596,Vila Nova de Gaia,Internet 100 Mbps,40.97,2022-03-24
624,Cliente_624,Lisboa,Net segura,154.57,2019-04-07
6871,Cliente_6871,Vila Nova de Gaia,"Pacote Integrado (TV, Internet, Telefone)",147.0,2020-10-09
4814,Cliente_4814,Coimbra,Internet 100 Mbps,49.07,2018-09-28
6553,Cliente_6553,Vila Nova de Gaia,Pacote Mobile Empresarial,19.6,2022-07-26
7530,Cliente_7530,Sintra,Telefone Fixo Ilimitado,27.27,2021-11-15
5796,Cliente_5796,Cascais,Internet 100 Mbps,35.55,2019-06-01
7437,Cliente_7437,Sintra,Pacote TV HD,34.7,2020-06-19
4218,Cliente_4218,Braga,Internet 200 Mbps,53.67,2021-09-02
5941,Cliente_5941,Cascais,"Pacote Integrado (TV, Internet, Telefone)",120.3,2022-06-15
8501,Cliente_8501,Sintra,Net segura,170.06,2022-03-21
6429,Cliente_6429,Cascais,Internet 200 Mbps,53.64,2020-06-10
6827,Cliente_6827,Vila Nova de Gaia,Pacote TV HD,25.49,2019-12-21
4131,Cliente_4131,Braga,Pacote TV HD,29.8,2022-01-02
7802,Cliente_7802,Sintra,Pacote TV HD,25.34,2020-06-28
7754,Cliente_7754,Sintra,"Pacote Integrado (TV, Internet, Telefone)",87.42,2021-10-27
4722,Cliente_4722,Coimbra,Net segura,154.44,2023-09-16
1651,Cliente_1651,Lisboa,Cloud,465.32,2021-03-17
4141,Cliente_4141,Braga,"Pacote Integrado (TV, Internet, Telefone)",113.36,2019-08-29
1618,Cliente_1618,Lisboa,Cloud,467.12,2018-05-01
2030,Cliente_2030,Lisboa,Internet 200 Mbps,57.46,2018-03-13
8518,Cliente_8518,Sintra,Net segura,262.74,2020-12-21
4576,Cliente_4576,Braga,Net segura,230.03,2021-10-30
3993,Cliente_3993,Braga,Pacote Mobile Empresarial,25.94,2021-08-17
7377,Cliente_7377,Sintra,Cloud,207.35,2021-08-22
6150,Cliente_6150,Cascais,Pacote TV HD,25.84,2019-12-10
4909,Cliente_4909,Coimbra,Pacote TV HD,38.48,2020-10-29
5027,Cliente_5027,Coimbra,Cloud,437.63,2021-04-05
8261,Cliente_8261,Sintra,"Pacote Integrado (TV, Internet, Telefone)",140.44,2018-08-20
4732,Cliente_4732,Coimbra,Internet 200 Mbps,65.5,2018-08-22
7549,Cliente_7549,Sintra,Internet 200 Mbps,62.0,2022-03-27
8135,Cliente_8135,Sintra,"Pacote Integrado (TV, Internet, Telefone)",124.76,2018-07-23
1607,Cliente_1607,Lisboa,"Pacote Integrado (TV, Internet, Telefone)",140.5,2018-03-20
4774,Cliente_4774,Coimbra,Net segura,231.67,2022-06-17
8110,Cliente_8110,Sintra,Telefone Fixo Ilimitado,25.92,2020-01-24
6952,Cliente_6952,Vila Nova de Gaia,Internet 100 Mbps,44.34,2018-11-03
6005,Cliente_6005,Cascais,Cloud,476.91,2020-12-09
7729,Cliente_7729,Sintra,Internet 200 Mbps,55.79,2019-05-04
3542,Cliente_3542,Porto,"Pacote Integrado (TV, Internet, Telefone)",136.25,2020-06-30
389,Cliente_389,Lisboa,Internet 200 Mbps,67.67,2019-09-30
