venda_id;cliente_id;produto;preco;data
45;14;Telefone Fixo Ilimitado;25.01;2023-12-07
46;15;Internet 200 Mbps;68.88;2024-03-23
47;15;Pacote Integrado (TV, Internet, Telefone);84.86;2023-06-02
48;15;Internet 100 Mbps;45.2;2024-08-27
49;16;Internet 100 Mbps;33.42;2022-06-12
50;16;Pacote Integrado (TV, Internet, Telefone);81.4;2022-11-05
51;16;Cloud;295.43;2024-08-29
52;17;Pacote Integrado (TV, Internet, Telefone);143.86;2024-09-04
53;18;Internet 200 Mbps;56.57;2022-01-18
54;19;Pacote Mobile Empresarial;28.08;2022-12-28
55;19;Pacote Integrado (TV, Internet, Telefone);118.17;2022-09-08
56;20;Net segura;135.15;2024-02-06
57;21;Net segura;212.03;2024-04-21
58;21;Pacote Integrado (TV, Internet, Telefone);131.73;2022-05-20
59;22;Internet 200 Mbps;53.45;2024-02-04
60;22;Internet 200 Mbps;62.72;2022-10-17
61;22;Pacote TV HD;33.14;2022-03-16
62;22;Pacote TV HD;34.45;2023-02-23
63;22;Internet 200 Mbps;59.46;2022-02-01
64;23;Net segura;134.74;2024-05-06
65;24;Pacote Integrado (TV, Internet, Telefone);82.9;2022-08-31
66;24;Pacote Mobile Empresarial;21.78;2022-09-27
67;25;Pacote TV HD;38.08;2022-08-27
68;25;Telefone Fixo Ilimitado;24.58;2022-09-16
69;25;Pacote TV HD;31.59;2022-03-03
70;25;Pacote Mobile Empresarial;15.28;2024-03-16
71;26;Pacote Mobile Empresarial;20.53;2023-09-25
72;27;Internet 200 Mbps;68.85;2022-07-22
73;27;Pacote TV HD;38.34;2023-06-12
74;27;Internet 100 Mbps;44.59;2022-04-20
75;27;Pacote Mobile Empresarial;25.97;2023-11-09
76;28;Pacote TV HD;36.96;2025-01-15
77;28;Pacote Mobile Empresarial;17.82;2023-12-26
78;28;Pacote TV HD;25.4;2024-04-09
79;28;Internet 200 Mbps;54.2;2023-09-09
80;28;Pacote TV HD;31.12;2022-08-21
81;29;Internet 100 Mbps;43.57;2024-08-13
82;29;Pacote TV HD;29.88;2023-09-07
83;29;Net segura;107.55;2024-03-08
84;29;Pacote Mobile Empresarial;20.31;2022-06-19
85;29;Pacote Mobile Empresarial;21.79;2022-08-30
86;30;Internet 100 Mbps;42.59;2023-01-23
87;30;Telefone Fixo Ilimitado;25.79;2024-10-16
88;31;Net segura;249.23;2022-11-02
89;32;Pacote TV HD;32.04;2022-07-03
90;32;Pacote TV HD;36.4;2022-03-19
91;32;Pacote TV HD;37.08;2024-09-01
92;33;Net segura;169.02;2025-01-29
93;33;Pacote Mobile Empresarial;27.74;2024-01-19
94;33;Internet 100 Mbps;33.71;2024-04-12
95;33;Internet 200 Mbps;64.66;2023-11-21
96;33;Telefone Fixo Ilimitado;28.23;2023-03-06
97;34;Internet 200 Mbps;51.79;2022-05-12
98;34;Internet 200 Mbps;58.13;2023-12-26
99;34;Pacote Mobile Empresarial;20.62;2022-01-25
100;34;Telefone Fixo Ilimitado;28.55;2022-12-13
101;34;Internet 100 Mbps;34.15;2022-08-08
102;35;Internet 200 Mbps;59.52;2025-01-24
103;35;Cloud;401.38;2022-07-18
104;36;Pacote Mobile Empresarial;29.52;2024-07-31
105;36;Pacote Mobile Empresarial;28.31;2024-01-18
106;36;Net segura;109.52;2024-01-01
107;36;Internet 100 Mbps;36.82;2022-05-28
108;36;Pacote Integrado (TV, Internet, Telefone);99.42;2023-09-23
109;37;Internet 100 Mbps;43.47;2022-08-17
110;37;Internet 200 Mbps;62.03;2022-05-22
111;37;Cloud;382.71;2022-05-18
112;38;Pacote Integrado (TV, Internet, Telefone);125.95;2022-09-30
113;38;Telefone Fixo Ilimitado;28.18;2024-02-17
114;38;Telefone Fixo Ilimitado;26.75;2025-01-09
115;38;Pacote TV HD;35.74;2023-04-14
116;38;Pacote TV HD;33.6;2024-03-01
117;39;Pacote TV HD;34.06;2023-08-12
118;39;Telefone Fixo Ilimitado;20.07;2024-10-17
119;39;Internet 100 Mbps;38.16;2023-01-02
120;40;Internet 100 Mbps;37.89;2023-04-28
121;41;Net segura;155.5;2022-08-30
122;41;Pacote Mobile Empresarial;20.6;2022-06-30
123;41;Net segura;105.42;2023-07-12
124;41;Internet 200 Mbps;57.78;2023-02-27
125;41;Cloud;335.76;2024-02-28
126;42;Internet 100 Mbps;32.29;2022-06-12
127;42;Telefone Fixo Ilimitado;27.79;2022-11-16
128;43;Telefone Fixo Ilimitado;27.17;2022-12-09
129;43;Cloud;243.37;2022-02-27
130;43;Net segura;108.8;2023-04-25
131;43;Cloud;300.27;2023-07-26
132;44;Internet 200 Mbps;51.8;2024-12-21
133;45;Cloud;269.73;2024-12-22
134;45;Pacote Mobile Empresarial;26.75;2023-02-19
135;45;Telefone Fixo Ilimitado;29.1;2025-01-07
136;45;Pacote Mobile Empresarial;21.53;2023-09-13
137;46;Internet 200 Mbps;50.31;2022-05-14
138;46;Pacote Integrado (TV, Internet, Telefone);115.78;2023-02-27
139;47;Cloud;212.63;2022-07-25
140;47;Pacote Mobile Empresarial;15.22;2022-09-14
141;47;Pacote Integrado (TV, Internet, Telefone);118.95;2023-06-15
142;47;Internet 200 Mbps;60.31;2024-01-26
143;47;Pacote TV HD;33.15;2024-10-19
144;48;Net segura;258.2;2024-07-23
145;48;Internet 200 Mbps;62.08;2022-10-24
146;48;Pacote Mobile Empresarial;26.14;2024-06-27
147;49;Telefone Fixo Ilimitado;26.55;2024-10-27
148;49;Internet 200 Mbps;51.55;2022-09-22
149;49;Pacote Integrado (TV, Internet, Telefone);113.78;2022-01-05
150;49;Cloud;327.67;2024-12-01
151;49;Cloud;298.82;2024-08-30
152;50;Internet 200 Mbps;63.78;2025-01-16
153;50;Internet 100 Mbps;49.1;2024-03-01
154;50;Internet 100 Mbps;36.53;2023-09-19
155;51;Internet 100 Mbps;38.78;2023-09-28
156;52;Cloud;298.74;2022-07-23
157;52;Net segura;178.26;2022-09-12
158;52;Net segura;131.19;2022-10-19
159;52;Pacote TV HD;37.59;2023-10-27
160;53;Internet 200 Mbps;58.07;2022-11-30
161;53;Pacote TV HD;30.73;2023-06-11
162;53;Internet 100 Mbps;49.38;2024-07-25
163;53;Pacote TV HD;26.54;2024-01-09
164;53;Pacote TV HD;27.25;2024-01-13
165;54;Pacote Mobile Empresarial;16.43;2025-01-17
166;54;Internet 100 Mbps;38.74;2022-07-02
167;54;Telefone Fixo Ilimitado;23.92;2022-01-29
168;54;Internet 200 Mbps;57.55;2024-01-16
169;55;Pacote TV HD;35.48;2024-02-19
170;55;Pacote Integrado (TV, Internet, Telefone);144.98;2024-03-22
171;55;Cloud;205.69;2023-02-19
172;55;Pacote Integrado (TV, Internet, Telefone);98.21;2022-02-19
173;55;Cloud;301.08;2024-06-15
174;56;Pacote Integrado (TV, Internet, Telefone);98.88;2022-10-08
175;56;Cloud;432.09;2023-02-10
176;57;Pacote Mobile Empresarial;15.77;2022-09-29
177;57;Internet 100 Mbps;35.83;2022-02-02
178;57;Internet 200 Mbps;63.73;2022-04-29
179;57;Pacote Mobile Empresarial;18.73;2022-07-17
180;58;Internet 200 Mbps;57.14;2024-03-24
181;59;Pacote Mobile Empresarial;29.34;2024-11-25
182;59;Pacote Mobile Empresarial;18.41;2023-07-23
183;59;Pacote TV HD;37.67;2022-07-05
184;60;Internet 100 Mbps;39.7;2024-07-18
185;60;Pacote TV HD;37.28;2024-02-26
186;60;Internet 100 Mbps;33.51;2024-11-30
187;60;Net segura;131.02;2024-01-09
188;61;Pacote TV HD;25.52;2023-12-09
189;61;Cloud;204.13;2024-04-27
190;61;Net segura;137.28;2024-06-05
191;61;Pacote Mobile Empresarial;27.17;2024-03-22
192;62;Cloud;412.0;2023-07-27
193;62;Pacote Mobile Empresarial;19.36;2022-03-29
194;63;Internet 100 Mbps;40.21;2024-01-23
195;63;Pacote TV HD;27.04;2022-12-29
196;64;Cloud;347.74;2024-07-14
197;65;Pacote Integrado (TV, Internet, Telefone);143.79;2023-09-22
198;65;Pacote Mobile Empresarial;29.46;2022-01-21
199;65;Pacote Mobile Empresarial;20.03;2023-09-02
200;65;Pacote TV HD;37.94;2024-07-03
201;65;Net segura;293.04;2024-08-19
202;66;Telefone Fixo Ilimitado;21.57;2022-09-28
203;66;Pacote TV HD;25.27;2024-02-27
204;66;Pacote Mobile Empresarial;24.62;2024-12-04
205;66;Internet 200 Mbps;50.66;2022-11-16
206;67;Pacote TV HD;31.37;2024-05-10
207;67;Pacote TV HD;27.41;2022-01-29
208;68;Pacote Integrado (TV, Internet, Telefone);136.2;2022-11-29
209;68;Telefone Fixo Ilimitado;22.96;2022-06-20
210;69;Pacote TV HD;32.57;2022-03-25
211;69;Pacote TV HD;38.15;2024-07-29
212;70;Internet 200 Mbps;52.44;2024-10-20
213;71;Cloud;321.79;2024-12-12
214;71;Pacote Mobile Empresarial;18.41;2023-03-23
215;71;Pacote Integrado (TV, Internet, Telefone);127.83;2024-08-10
216;72;Net segura;256.73;2024-07-17
217;72;Internet 100 Mbps;32.81;2022-04-05
218;73;Internet 100 Mbps;47.23;2022-08-12
219;73;Internet 200 Mbps;53.72;2024-09-04
220;73;Cloud;269.65;2023-06-30
221;74;Internet 100 Mbps;43.68;2023-08-25
222;74;Telefone Fixo Ilimitado;24.72;2022-04-22
223;74;Cloud;227.94;2022-01-24
224;75;Cloud;427.36;2023-10-31
225;75;Internet 200 Mbps;56.92;2023-03-27
226;75;Pacote TV HD;38.59;2022-03-22
227;75;Internet 100 Mbps;39.12;2022-02-11
228;76;Internet 100 Mbps;47.11;2023-05-23
229;76;Internet 100 Mbps;31.76;2023-08-13
230;76;Internet 100 Mbps;39.73;2024-03-31
231;76;Pacote Integrado (TV, Internet, Telefone);108.52;2022-05-26
232;76;Pacote TV HD;33.53;2023-09-17
233;77;Cloud;232.31;2024-09-25
234;77;Pacote Mobile Empresarial;19.82;2022-02-25
235;77;Cloud;409.99;2023-07-01
236;77;Pacote Mobile Empresarial;22.61;2024-01-13
237;78;Internet 200 Mbps;69.58;2023-06-29
238;78;Telefone Fixo Ilimitado;28.88;2022-08-02
239;78;Pacote TV HD;28.3;2024-01-08
240;79;Internet 100 Mbps;30.25;2023-02-18
241;79;Telefone Fixo Ilimitado;27.74;2022-01-28
242;79;Internet 100 Mbps;30.59;2022-06-10
243;79;Internet 100 Mbps;45.24;2024-03-06
244;79;Pacote Integrado (TV, Internet, Telefone);116.18;2024-07-06
245;80;Pacote TV HD;35.66;2022-05-23
246;80;Internet 200 Mbps;55.55;2024-01-11
247;80;Pacote Mobile Empresarial;20.41;2024-08-17
248;80;Pacote Mobile Empresarial;15.86;2024-03-21
249;81;Cloud;277.21;2022-01-23
250;81;Pacote Mobile Empresarial;25.84;2024-09-10
251;81;Cloud;377.38;2022-08-10
252;81;Internet 100 Mbps;47.86;2022-05-24
253;82;Net segura;289.7;2023-09-06
254;82;Net segura;163.0;2024-03-20
255;83;Pacote Integrado (TV, Internet, Telefone);90.89;2023-12-31
256;83;Net segura;204.21;2022-07-24
257;83;Pacote TV HD;26.5;2024-07-17
258;83;Pacote Integrado (TV, Internet, Telefone);119.56;2024-10-07
259;84;Net segura;248.78;2024-06-15
260;85;Net segura;266.4;2022-04-02
261;85;Pacote Integrado (TV, Internet, Telefone);115.17;2023-03-17
262;85;Internet 200 Mbps;64.08;2023-06-10
263;86;Pacote TV HD;36.95;2022-09-10
264;86;Net segura;119.65;2023-01-14
265;87;Internet 200 Mbps;69.53;2022-01-01
266;87;Internet 100 Mbps;38.61;2022-11-05
267;87;Internet 100 Mbps;43.2;2022-07-02
268;87;Internet 200 Mbps;61.37;2023-12-18
269;88;Net segura;200.15;2022-05-04
270;88;Telefone Fixo Ilimitado;27.12;2024-04-05
271;88;Pacote Integrado (TV, Internet, Telefone);101.52;2022-05-04
272;88;Internet 200 Mbps;50.57;2024-09-24
273;89;Pacote Mobile Empresarial;19.4;2023-11-16
274;89;Internet 200 Mbps;51.45;2024-04-10
275;89;Net segura;160.85;2024-09-08
276;89;Pacote Integrado (TV, Internet, Telefone);102.28;2023-02-07
277;89;Cloud;230.02;2024-03-12
278;90;Telefone Fixo Ilimitado;21.76;2023-08-12
279;91;Pacote Integrado (TV, Internet, Telefone);132.52;2023-07-17
280;91;Internet 100 Mbps;46.63;2023-06-25
281;91;Cloud;283.98;2022-03-27
282;91;Cloud;321.7;2023-01-23
283;92;Cloud;304.74;2022-05-13
284;92;Pacote Integrado (TV, Internet, Telefone);99.49;2023-05-23
285;92;Pacote Integrado (TV, Internet, Telefone);91.63;2024-08-05
286;92;Pacote Integrado (TV, Internet, Telefone);130.87;2024-04-20
287;93;Pacote Mobile Empresarial;15.06;2022-08-26
288;93;Internet 100 Mbps;45.96;2024-12-29
289;93;Pacote Integrado (TV, Internet, Telefone);81.78;2023-12-13
290;93;Cloud;462.05;2022-09-24
291;93;Pacote Integrado (TV, Internet, Telefone);107.48;2023-05-26
292;94;Telefone Fixo Ilimitado;21.06;2024-03-03
293;94;Internet 200 Mbps;65.75;2022-04-05
294;94;Telefone Fixo Ilimitado;29.27;2022-12-14
295;95;Net segura;198.28;2023-04-08
296;95;Cloud;302.45;2023-11-13
297;95;Pacote Mobile Empresarial;26.97;2022-02-13
298;96;Pacote TV HD;37.52;2023-04-13
299;96;Pacote TV HD;25.01;2023-03-08
300;96;Pacote Mobile Empresarial;27.23;2024-04-04
301;97;Pacote TV HD;30.84;2022-12-05
302;97;Telefone Fixo Ilimitado;22.16;2022-07-05
303;97;Internet 100 Mbps;47.48;2022-09-16
304;97;Pacote TV HD;34.45;2023-05-31
305;97;Net segura;281.15;2022-06-02
306;98;Pacote TV HD;35.56;2024-12-17
307;98;Pacote TV HD;25.97;2024-05-09
308;99;Telefone Fixo Ilimitado;26.68;2023-10-02
309;99;Telefone Fixo Ilimitado;25.62;2022-04-20
310;99;Pacote Integrado (TV, Internet, Telefone);80.01;2023-07-08
311;99;Cloud;474.1;2022-04-17
312;99;Pacote Mobile Empresarial;27.47;2024-04-07
313;100;Internet 100 Mbps;47.32;2022-10-05
314;100;Pacote TV HD;39.64;2024-01-01
315;100;Cloud;249.06;2024-07-14
316;100;Internet 100 Mbps;40.58;2023-05-24
317;101;Pacote TV HD;25.39;2024-09-09
318;101;Internet 100 Mbps;47.92;2024-10-15
319;102;Telefone Fixo Ilimitado;24.82;2023-04-16
320;102;Pacote Mobile Empresarial;16.51;2024-03-04
321;102;Pacote Mobile Empresarial;28.83;2024-06-23
322;103;Cloud;495.74;2023-12-01
323;103;Internet 200 Mbps;55.09;2024-01-09
324;103;Telefone Fixo Ilimitado;21.84;2024-09-04
325;104;Internet 100 Mbps;40.6;2024-09-20
326;104;Internet 100 Mbps;37.34;2022-09-12
327;104;Pacote Integrado (TV, Internet, Telefone);134.17;2022-03-23
328;105;Pacote Mobile Empresarial;25.58;2022-04-13
329;105;Internet 100 Mbps;40.11;2024-02-14
330;105;Cloud;311.99;2023-08-19
331;105;Pacote TV HD;26.26;2023-12-13
332;106;Pacote Integrado (TV, Internet, Telefone);80.51;2022-02-08
333;106;Cloud;345.9;2024-04-03
334;106;Telefone Fixo Ilimitado;26.61;2023-04-29
335;106;Telefone Fixo Ilimitado;23.68;2022-07-18
336;107;Internet 200 Mbps;50.69;2022-10-28
337;107;Pacote Integrado (TV, Internet, Telefone);129.21;2022-03-15
338;108;Internet 200 Mbps;64.09;2023-11-01
339;108;Telefone Fixo Ilimitado;23.27;2022-01-04
340;108;Net segura;143.78;2024-12-20
341;108;Cloud;332.8;2022-12-21
342;108;Pacote TV HD;35.65;2023-10-13
343;109;Telefone Fixo Ilimitado;26.19;2023-11-29
344;109;Net segura;222.05;2023-11-24
345;109;Telefone Fixo Ilimitado;25.75;2023-07-13
346;109;Internet 200 Mbps;64.61;2023-01-18
347;110;Pacote TV HD;33.68;2022-08-27
348;110;Net segura;127.91;2022-08-11
349;110;Pacote Integrado (TV, Internet, Telefone);91.49;2024-09-18
350;110;Pacote Mobile Empresarial;16.04;2023-03-15
351;111;Net segura;182.55;2024-09-11
352;112;Cloud;354.9;2022-08-31
353;112;Internet 100 Mbps;41.81;2022-06-13
354;112;Internet 100 Mbps;41.84;2024-11-28
355;112;Pacote TV HD;27.64;2023-11-03
356;112;Internet 200 Mbps;65.99;2023-07-08
357;113;Cloud;273.49;2022-07-03
358;114;Telefone Fixo Ilimitado;23.16;2024-05-24
359;114;Pacote TV HD;26.55;2022-08-29
360;114;Cloud;255.45;2023-01-03
361;114;Net segura;247.79;2023-06-17
362;115;Pacote TV HD;27.03;2024-07-02
363;116;Telefone Fixo Ilimitado;24.97;2023-05-09
364;116;Internet 100 Mbps;35.26;2023-05-11
365;117;Cloud;203.85;2024-05-11
366;118;Internet 200 Mbps;63.5;2024-07-17
367;118;Telefone Fixo Ilimitado;22.19;2022-06-17
368;118;Net segura;154.5;2023-05-17
369;118;Net segura;163.37;2024-03-14
370;119;Pacote Mobile Empresarial;22.52;2024-11-04
371;119;Internet 200 Mbps;69.87;2022-07-23
372;119;Pacote Integrado (TV, Internet, Telefone);96.07;2022-10-01
373;119;Cloud;432.95;2024-02-10
374;119;Cloud;359.37;2023-03-07
375;120;Pacote TV HD;33.74;2022-06-24
376;120;Cloud;263.76;2023-04-13
377;120;Telefone Fixo Ilimitado;26.78;2022-03-25
378;120;Pacote Integrado (TV, Internet, Telefone);116.23;2022-03-24
379;121;Internet 200 Mbps;66.26;2024-07-04
380;122;Pacote Integrado (TV, Internet, Telefone);148.46;2022-10-13
381;122;Internet 200 Mbps;57.28;2024-12-19
382;122;Cloud;284.99;2023-08-15
383;123;Net segura;165.96;2022-12-17
384;123;Pacote Mobile Empresarial;20.0;2023-03-19
385;123;Internet 100 Mbps;42.31;2024-09-09
386;123;Pacote TV HD;37.24;2024-12-11
387;124;Pacote Mobile Empresarial;22.27;2024-10-22
388;124;Pacote Integrado (TV, Internet, Telefone);139.19;2023-05-28
389;124;Internet 100 Mbps;46.09;2023-02-05
390;124;Pacote Integrado (TV, Internet, Telefone);113.73;2023-01-14
391;125;Telefone Fixo Ilimitado;26.33;2024-09-20
392;126;Internet 100 Mbps;32.78;2024-03-09
393;127;Internet 200 Mbps;50.23;2024-10-18
394;127;Internet 100 Mbps;42.33;2022-02-18
395;128;Net segura;143.94;2023-11-19
396;128;Internet 100 Mbps;41.44;2023-12-27
397;128;Pacote Mobile Empresarial;18.59;2023-06-24
398;129;Pacote Mobile Empresarial;25.1;2024-11-28
399;129;Internet 100 Mbps;36.28;2023-05-11
400;129;Telefone Fixo Ilimitado;28.11;2023-07-10
401;129;Net segura;226.81;2022-12-02
402;129;Internet 200 Mbps;58.63;2022-10-25
403;130;Pacote Mobile Empresarial;22.84;2022-10-29
404;130;Telefone Fixo Ilimitado;29.12;2024-08-13
405;130;Telefone Fixo Ilimitado;24.11;2023-04-01
406;130;Telefone Fixo Ilimitado;29.79;2024-05-03
407;130;Pacote Integrado (TV, Internet, Telefone);90.68;2025-01-17
408;131;Telefone Fixo Ilimitado;22.79;2024-10-12
409;132;Cloud;260.9;2023-08-30
410;132;Net segura;213.93;2024-07-30
411;132;Internet 100 Mbps;45.86;2022-05-17
412;132;Telefone Fixo Ilimitado;22.6;2023-06-01
413;132;Pacote Mobile Empresarial;20.4;2023-08-27
414;133;Pacote Integrado (TV, Internet, Telefone);91.0;2023-10-27
415;134;Cloud;222.93;2024-10-22
416;134;Pacote Mobile Empresarial;16.73;2022-06-07
417;134;Pacote TV HD;29.07;2023-02-28
418;134;Net segura;298.58;2023-03-05
419;134;Telefone Fixo Ilimitado;20.08;2024-11-07
420;135;Pacote Integrado (TV, Internet, Telefone);84.18;2024-03-20
421;135;Pacote Mobile Empresarial;19.36;2022-02-28
422;136;Internet 200 Mbps;56.13;2024-10-23
423;136;Internet 200 Mbps;59.22;2022-05-06
424;136;Telefone Fixo Ilimitado;24.38;2024-02-22
425;136;Pacote Integrado (TV, Internet, Telefone);113.63;2023-12-26
426;137;Pacote Integrado (TV, Internet, Telefone);100.75;2024-11-03
427;138;Telefone Fixo Ilimitado;29.8;2022-01-25
428;138;Pacote Mobile Empresarial;28.17;2023-05-16
429;138;Internet 100 Mbps;47.72;2024-12-26
430;138;Pacote TV HD;31.77;2022-08-10
431;139;Telefone Fixo Ilimitado;26.49;2023-05-11
432;139;Pacote Integrado (TV, Internet, Telefone);136.27;2023-09-10
433;139;Cloud;299.67;2022-12-16
434;140;Pacote Mobile Empresarial;23.69;2025-02-05
435;140;Cloud;476.8;2024-03-10
436;140;Internet 200 Mbps;67.7;2022-03-28
437;141;Internet 100 Mbps;49.82;2024-01-07
438;141;Cloud;319.46;2023-11-21
439;142;Net segura;175.68;2022-03-23
440;142;Pacote TV HD;37.63;2024-04-01
441;142;Cloud;497.38;2022-11-25
442;142;Net segura;272.12;2022-05-28
443;143;Net segura;267.88;2023-03-09
444;143;Internet 200 Mbps;68.73;2024-11-01
445;143;Internet 200 Mbps;60.35;2022-08-09
446;144;Pacote Mobile Empresarial;27.6;2022-06-15
447;144;Telefone Fixo Ilimitado;25.04;2022-06-06
448;144;Pacote TV HD;26.66;2024-12-20
449;144;Telefone Fixo Ilimitado;26.88;2022-06-26
450;145;Internet 100 Mbps;34.7;2024-04-23
451;145;Pacote Integrado (TV, Internet, Telefone);136.86;2022-11-29
452;146;Pacote TV HD;35.35;2023-01-09
453;146;Pacote TV HD;28.61;2024-07-10
454;146;Internet 100 Mbps;48.05;2023-05-29
455;146;Internet 200 Mbps;63.95;2023-01-27
456;147;Pacote Mobile Empresarial;27.57;2023-11-26
457;147;Telefone Fixo Ilimitado;28.48;2022-10-10
458;147;Telefone Fixo Ilimitado;28.17;2024-04-17
459;147;Internet 200 Mbps;59.11;2023-10-31
460;148;Internet 200 Mbps;51.21;2024-05-08
461;148;Net segura;169.63;2022-05-17
462;148;Internet 100 Mbps;45.38;2025-01-29
463;149;Pacote TV HD;38.19;2024-03-08
464;150;Telefone Fixo Ilimitado;25.36;2024-12-09
465;150;Telefone Fixo Ilimitado;25.14;2023-10-31
466;150;Cloud;203.32;2022-01-15
467;150;Telefone Fixo Ilimitado;27.28;2022-10-16
468;150;Internet 100 Mbps;35.07;2023-10-13
469;151;Net segura;281.36;2024-08-29
470;151;Cloud;439.73;2024-01-12
471;151;Pacote TV HD;38.23;2022-11-29
472;152;Cloud;413.29;2022-11-02
473;153;Cloud;421.69;2024-04-09
474;154;Telefone Fixo Ilimitado;26.68;2024-01-25
475;154;Cloud;460.81;2023-07-09
476;154;Cloud;294.55;2022-04-13
477;154;Internet 200 Mbps;51.43;2024-03-04
478;154;Telefone Fixo Ilimitado;28.77;2024-08-24
479;155;Internet 200 Mbps;64.12;2024-10-06
480;155;Cloud;210.78;2024-12-28
481;155;Internet 200 Mbps;50.59;2023-06-14
482;156;Telefone Fixo Ilimitado;27.3;2024-06-03
483;156;Pacote Mobile Empresarial;25.65;2023-08-08
484;156;Net segura;247.51;2024-07-10
485;156;Cloud;209.34;2023-07-04
486;156;Pacote TV HD;35.97;2022-04-07
487;157;Net segura;127.58;2023-08-16
488;157;Pacote Mobile Empresarial;18.03;2023-05-12
489;157;Pacote TV HD;31.63;2022-12-15
490;157;Internet 200 Mbps;62.65;2024-12-12
491;157;Telefone Fixo Ilimitado;26.03;2022-09-09
492;158;Pacote Integrado (TV, Internet, Telefone);145.92;2022-07-29
493;158;Cloud;378.59;2023-03-11
494;158;Internet 200 Mbps;69.71;2022-10-03
495;159;Internet 100 Mbps;30.93;2022-07-29
496;159;Telefone Fixo Ilimitado;26.2;2023-11-22
497;160;Internet 100 Mbps;42.23;2022-10-13
498;160;Internet 100 Mbps;32.18;2023-10-26
499;161;Pacote TV HD;29.8;2022-11-06
500;161;Internet 200 Mbps;53.57;2022-01-19
501;162;Net segura;207.28;2022-11-13
502;162;Cloud;388.81;2022-03-17
503;163;Net segura;158.05;2024-05-18
504;163;Pacote TV HD;31.96;2022-02-20
505;163;Net segura;174.72;2023-01-23
506;163;Telefone Fixo Ilimitado;21.4;2024-05-22
507;164;Telefone Fixo Ilimitado;24.98;2023-11-24
508;164;Pacote TV HD;32.09;2022-10-03
509;164;Pacote Integrado (TV, Internet, Telefone);129.72;2024-09-13
510;165;Pacote TV HD;29.92;2022-08-14
511;165;Pacote TV HD;39.51;2023-09-12
512;165;Internet 200 Mbps;69.63;2023-12-13
513;166;Pacote Mobile Empresarial;21.78;2023-04-03
514;166;Net segura;187.04;2022-03-09
515;166;Pacote TV HD;37.32;2022-09-29
516;166;Pacote TV HD;38.09;2024-01-03
517;167;Pacote Mobile Empresarial;15.94;2022-03-10
518;167;Pacote TV HD;25.4;2022-06-08
519;167;Pacote Mobile Empresarial;15.72;2023-06-09
520;168;Pacote Mobile Empresarial;23.94;2023-05-15
521;168;Telefone Fixo Ilimitado;25.66;2023-06-05
522;169;Internet 100 Mbps;33.06;2022-12-11
523;170;Telefone Fixo Ilimitado;22.47;2022-01-03
524;170;Internet 200 Mbps;69.84;2022-04-17
525;170;Net segura;178.72;2022-03-25
526;171;Pacote TV HD;31.61;2022-01-30
527;172;Net segura;272.78;2024-04-18
528;172;Pacote TV HD;25.73;2022-06-20
529;172;Telefone Fixo Ilimitado;23.81;2022-11-27
530;172;Pacote TV HD;32.68;2024-07-14
531;173;Telefone Fixo Ilimitado;26.29;2022-11-23
532;173;Internet 200 Mbps;62.68;2023-04-17
